iteration,RMSE_1,R2_1,RMSE_2,R2_2,RMSE_3,R2_3
1,1.48760471830565,0.667812959585854,6.21325431443672,0.334490373663389,1.44194958465077,0.668497229354069
2,1.92963032408699,0.443638203961037,5.74530876172265,0.436875129245198,1.41206786554324,0.681082144800084
3,1.82496301281743,0.52033125211058,4.8255459213431,0.623215847145191,1.4934088062915,0.646050727093062
4,1.23017486738102,0.772971231969946,5.08046280032341,0.580168755972685,1.3268198019532,0.724852504875436
5,1.11722837567534,0.815433725134362,4.54762072491307,0.658836336218255,1.28891270063799,0.735782184492569
6,1.25505142639765,0.770220329332221,2.96793826766834,0.872257749643931,1.12929660073843,0.798290444510644
7,1.17559771236065,0.793046499845483,3.20072208744008,0.831996951719447,1.54973467358645,0.616335516006826
8,1.04976635962538,0.842883863795505,2.40227366718562,0.906649975024922,1.35251880258254,0.707348086394961
9,1.03714570015999,0.839400056389225,2.57305389693587,0.89113845366707,1.25724764346783,0.747119218377137
10,0.932774169073466,0.871351996577033,2.03248284609101,0.930689697793684,1.1260901909358,0.799620813286615
11,0.883216654794994,0.88496729588037,1.81301773138008,0.944015000238538,1.05860231933912,0.821108291608781
12,0.769780419136282,0.912229011549371,2.10026002340524,0.92401951360305,0.768250754623509,0.921605693263812
13,0.724780261429163,0.921461019299767,1.43473597435327,0.969570647133962,0.662075900528954,0.933635895383719
14,0.652900306326536,0.938212723249211,1.28809512612437,0.973398295750039,0.667660271899717,0.932977731940074
15,0.584818143975458,0.948695400524581,1.57944646861321,0.958301734636262,0.639424129929866,0.943582808046055
16,0.560282627158751,0.953162732768263,1.64131220377641,0.956862031439014,0.601517195726156,0.947581897904711
17,0.518864315303359,0.959788943033566,1.75260308615938,0.952687006718569,0.619367537480347,0.940623514284979
18,0.497679682411959,0.963009441185257,1.39063564966679,0.969387440638793,0.552302890011806,0.951835634976406
19,0.489421606993753,0.96423495697557,1.22889133374161,0.97529954426963,0.60140938444941,0.945925973467971
20,0.609746551858672,0.950531588251975,1.00163000430042,0.982691123204881,0.577565455674079,0.949877743770331
21,0.598353278283849,0.953092444000567,1.02496528710984,0.982193775848716,0.556053123617185,0.953436760637707
22,0.511370471252354,0.961158713648095,1.3574526395182,0.96955612114621,0.624696889658904,0.941040547678853
23,0.587073089598642,0.955353615097561,0.973172425747728,0.983665857928501,0.532268011398973,0.957003390873782
24,0.49364476486068,0.964520538142428,1.07551834423017,0.980064965106089,0.606366415351892,0.943846191026944
25,0.490870662525853,0.965690198376231,1.17514047699976,0.976342657371849,0.630163615082836,0.938723174607717
26,0.491595615333063,0.965555356576268,1.1101009800212,0.978770946722102,0.512905315150486,0.958522531797096
27,0.484321134552053,0.966004024221608,1.06549801892657,0.980514695144422,0.496974242300606,0.960763943736892
28,0.529716415891253,0.965100399043938,0.808502500971989,0.988844172549804,0.448217126340325,0.970957351588745
29,0.525116355381671,0.965268347106142,0.796413849646461,0.989145050852761,0.440644295376304,0.971523434979251
30,0.503722712366408,0.962805937829955,0.971250630013003,0.98412584862578,0.447797980609704,0.968777907419131
31,0.501451605491091,0.968678720941288,0.754584920017358,0.990268482856362,0.379628332832178,0.978333700065542
32,0.489075676925547,0.970528163733028,0.737859373644168,0.990637296523497,0.379563268577815,0.979557948520995
33,0.485951211822324,0.971160787009012,0.734867569804751,0.990702487736609,0.380529025670518,0.979406745739272
34,0.484485610986808,0.971351566271436,0.735305676628338,0.990684544758065,0.381706954162475,0.979412557467521
35,0.447536783048834,0.972429382391718,0.935181860804553,0.984921605314817,0.376376439844702,0.978001856669586
36,0.485709871250408,0.971220122766577,0.728753219292577,0.990853485310349,0.377964110646745,0.979623344830188
37,0.450150063996993,0.971871762627843,0.948368518966457,0.984520714634736,0.377822510219258,0.978016951351406
38,0.485962646787089,0.971198107702928,0.729334491781517,0.990838526619995,0.379848303350695,0.979486131554051
39,0.485937762159108,0.971200196744995,0.72915237958595,0.990843456737777,0.379486666459595,0.979505725605803
40,0.485937762159108,0.971200196744995,0.72915237958595,0.990843456737777,0.379486666459595,0.979505725605803
